query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
SRR11125891,order,0.007823014804845221,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales,028a6fec,-,0.027165445011990735,1860000,0.9092715669002684,73807
SRR11125891,order,0.006897711978465679,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales,028a6fec,-,0.005487284403918327,1640000,0.9070300338019356,73807
SRR11125891,order,0.006519179004037685,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales,028a6fec,-,0.0026962212256290054,1550000,0.9060267858293787,73807
SRR11125891,order,0.005972409152086138,d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales,028a6fec,-,0.002533635021068462,1420000,0.9044719217686659,73807
SRR11125891,order,0.005720053835800808,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales,028a6fec,-,0.003156882138550544,1360000,0.903706598345413,73807
SRR11125891,order,0.004584454912516823,d__Bacteria;p__Bacillota;c__Bacilli;o__RF39,028a6fec,-,0.003143333288170499,1090000,0.8997935924947901,73807
SRR11125891,order,0.0042479811574697175,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales,028a6fec,-,0.0024252442180281004,1010000,0.898449716766627,73807
SRR11125891,order,0.0038273889636608344,d__Bacteria;p__Bacillota;c__Peptococcia;o__Peptococcales,028a6fec,-,0.0020458764073868333,910000,0.8966148620469877,73807
SRR11125891,order,0.003490915208613728,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,028a6fec,-,0.0015852154944652947,830000,0.8949985654802414,73807
SRR11125891,order,0.002775908479138627,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales,028a6fec,-,0.0012058476838240277,660000,0.8909856082227754,73807
SRR11125891,order,0.002607671601615074,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales,028a6fec,-,0.0010432614792634846,620000,0.8898940276675501,73807
SRR11125891,order,0.001598250336473755,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales,028a6fec,-,0.0007722844716625795,380000,0.8813928151934151,73807
SRR11125891,order,0.0007991251682368775,d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361,028a6fec,-,0.0005555028655818554,190000,0.8694947358963101,73807
SRR11125891,order,0.0005888290713324361,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,028a6fec,-,0.00021678160608072406,140000,0.8643038663360437,73807
SRR11125891,order,0.0005467698519515478,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales,028a6fec,-,0.00024387930684081457,130000,0.8630488605981727,73807
SRR11125891,order,0.0003785329744279946,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales,028a6fec,-,0.00014903735418049779,90000,0.8568484085867073,73807
SRR11125891,order,0.00029441453566621804,d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77,028a6fec,-,0.00014903735418049779,70000,0.8526364738168479,73807
SRR11125891,order,0.00025235531628532975,d__Bacteria;p__Bacillota;c__Clostridia;o__Tissierellales,028a6fec,-,8.129310228027151e-05,60000,0.8500632177857105,73807
SRR11125891,order,0.47034825033647376,unclassified,028a6fec,-,0.3152817483436532,111830000,,73807
SRR11125891,family,0.08109017496635262,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,028a6fec,-,0.08985597572046014,19280000,0.9519348365494258,73807
